Ржев,Горбово,Нов.Ивановское,Ковынево,Скворцово,Дураково,Добрая,Мурылево,Ханино,Горы Казеки|N56E34-237-044|N56E34-237-045
Ржев,Старшевицы,Бельково,Харино,Дешевка|N56E34-237-053
Ржев,Полунино,Галахово,Тимофеево,Ердихино,Федорково|N56E34-237-048
Ржев,Крупцово,Гущино,Иружа,Разница|N56E34-224-011
Ржев,Грибеево,Находово,Жеребцово,Маломахово,Архарово,Кошелево|N56E34-242-014
Ржев,Полибино,Бухавино,Колесниково,Кокша,Колекщино,Щелково,Павлово,Мишино,Красное,Филькино,Косачева|N56E34-251-018
Ржев,Рамено,Коршуново,Дубровка,Наумово,Теленково,Жеребцово,Доманово,Харино|N56E34-256-139
Ржев,Ново-Семеновское,Подсосенье,Горы Казеки,Берниково,Мурылево,Горбово,Федорково,Ковынево,Лазарево,Матюково,Дураково|N56E34-271-005
Ржев,Копытиха,Пронино,Ханино,Губино,Починки,Дураково,Добрая,Лепетиха,Скворцово|N56E34-266-011
Ржев,Горы Казеки,Ханино,Копытиха,Буруково,Подсосенье,Берниково,Мурылево|N56E34-266-020
